TagId,DisplayName,UrlKeyword,Description
00140282-6668-4aaf-86d7-7973af52f7e8,webmatrix,webmatrix,
004cd5c2-286b-4b58-8747-c4eaf804d8bf,70-643,70-643,"Microsoft's 70-643 Windows Server 2008 Applications Infrastructure, Configuring exam is 1 of 5 exams required to obtain the MCITP: Enterprise Administrator on Windows Server 2008"
00d6b9ee-bb70-4046-9d1f-b6c3d6e3debf,powercli,powercli,PowerCLI is a PowerShell command line interface for managing VMware vSphere.
00ee553d-10ae-47eb-94f0-bffba877698b,gdk,gdk,
01248445-51cf-44d8-add1-d3ed4cdd7282,powerpoint-2013,powerpoint-2013,PowerPoint is Microsoft�s presentation software.  This tag is associated with courses that focus specifically on PowerPoint 2013.
0136d131-68e2-463c-b022-7448534e8efb,dhcp,dhcp,Dynamic Host Configuration Protocol (DHCP) is a communications protocol used by servers to allocate IP addresses to devices automatically.
014355ad-3a3d-44eb-b030-98f9c9c68914,data-structures,data-structures,
014f9dd8-be77-4921-965e-7f4861c16a7c,google,google,"Google is a company who runs the most widely used web search engine. They also operate web-based services for mail, calendaring, and office applications. They develop and promote Open Source software including as Angular.js and languages such as Go and Dart."
01538357-8b43-4132-b14e-572205c41565,greenhopper,greenhopper,
016a0444-1f96-4b58-85d5-d95964162922,outlook,outlook,Microsoft Outlook is an email application from Microsoft that is part of the Microsoft Office product line.
016f8036-dc21-4f7a-8c40-a7bf5cc709f4,642-732,642-732,Cisco 642-732 Conducting Cisco Unified Wireless Site Survey (CUWSS) exam. Passing this exam will give you credit towards the CCNP Wireless certification.
01ea9a29-dcb2-4877-a661-f1d427b05b93,asp.net-mvc-4,"asp.net-mvc-4,aspdotnet-mvc-4",ASP.NET MVC is Microsoft's implementation of the Model-View-Controller (MVC) architectural pattern in the context of web application development within the ASP.NET framework.  This tag is associated with courses that specifically focus on version 4.
02fb0c98-a497-46be-bca6-5cc30670b1fd,breeze,breeze,
032d01d4-57c7-4c75-a3ad-cd4769198f47,task-parallel-library,task-parallel-library,
033b0f1b-c83e-41a0-ae04-8d9c9314a2f1,data-visualization,data-visualization,
03421578-c074-411a-97d7-3d3668a9e6c2,arduino,arduino,
034a6dc0-4496-45c4-a1f4-a2dc88210daa,threading,threading,Threading is a software pattern provided by operating systems and language runtimes for running many tasks in parallel on a single machine.
0401cfab-0807-4666-8981-94662fa667cd,database-administration,database-administration,"Database administration is the practice of designing and maintaining data storage systems. It includes schema design, physical storage planning, and client access restrictions."
0462cc6b-e2c6-4451-a3fe-cfcc983ddbc1,windows-vista,windows-vista,"Windows is a family of client, server, and mobile operating systems developed by Microsoft.  This tag is associated with courses that focus on Windows Vista."
04a66510-b1c9-4483-9adf-2a5fffa6822b,system-center-2007,system-center-2007,System Center is a suite of management tools for server infrastructure from Microsoft. This tag is associated with courses that focus on the 2007 & 2007 R2 versions of the product.
04df518a-a501-47b6-b406-ea842e224ef5,software-design,software-design,
04f926c0-c70b-4b4f-9cbf-b6e7edc63da1,business-professional,"business-professional,end-user",Courses that target the Business Professionals.
04fbd652-d765-43b3-89fa-9879834ca4a5,onedrive,"onedrive,skydrive",OneDrive (formerly Skydrive) is a file hosting service that allows users to store and sync files between devices and cloud storage developed by Microsoft.
05cf4716-4cd6-413f-ae8d-9c69fb9efafd,paas,paas,
0609e2ac-6e0e-4469-9a5d-f2a376e07aaa,conferences,conferences,
06578057-cc21-49bf-a2df-7714210814c6,ndpend,ndpend,
06762302-90c1-46e3-8c28-5a90e153c58c,refactoring,refactoring,Refactoring is the process of rewriting code without adding functionality. The goal is to improve readability and maintainability without changing any application features.
075e55e0-8253-4cdd-9233-cbd67adb6628,taxonomies,taxonomies,
078b511a-e9cb-4561-b585-e98c5f3f5e49,rstudio,rstudio,
07fe49a8-dd1c-48ed-8393-31217ae5a015,mcsa-windows-server-2012-r2,mcsa-windows-server-2012-r2,
08988fd9-a19d-43c7-a4ff-92a1804fa2f6,unix,unix,"Unix is a high performance operating system developed in 1969 and subsequently enhanced, extended, and recreated by many companies. It is built around the concept of many small programs whose features can be combined to accomplish complex tasks."
08dec407-37f7-42e7-922a-d4ad86fc54f3,certificates,certificates,
09089415-d93b-40d0-96f8-da2795a89750,mstest,mstest,
0923d4d1-7c06-45fc-b00b-ea0b842c54c5,access,access,Microsoft Access is a desktop database application from Microsoft that is part of the Microsoft Office product line.
0957aef0-fc15-4c31-984f-75b6642e716d,windows-forms,windows-forms,
0a1e6324-7428-4fdf-b0f1-65fd40d2739c,vcp5-dcv,vcp5-dcv,The VMware Certified Professional (VCP) is VMware's professional level of certification. This tag is associated with courses that specifically focus on the vSphere 5+ Data Center Virtualization (DCV) technologies.
0b3f512b-59dd-46a5-84f6-cc60bb8e544e,stl,stl,
0b61d90a-d340-444a-9cf0-e0b38418dfe5,drupal,drupal,
0b754e33-5cdd-45c1-91c2-92f6a92ebbe5,wireless,wireless,"Wireless is a physical layer networking technology that uses radio frequency communication to transfer data between devices. Wireless technologies include wi-fi, Bluetooth, XBee, and wireless USB."
0b894d4a-ad0f-41ba-8a6f-a820d991c3e1,hopscotch,hopscotch,
0b8a796f-f9ea-4c66-9c36-f708c61392ac,jasmine,jasmine,
0b9cfec2-c0ed-4929-ba57-422c2b9aea6e,asp.net-mvc-2,"asp.net-mvc-2,aspdotnet-mvc-2",ASP.NET MVC is Microsoft's implementation of the Model-View-Controller (MVC) architectural pattern in the context of web application development within the ASP.NET framework.  This tag is associated with courses that specifically focus on version 2.
0bae0f9b-8b4a-4943-9e58-40afdedff823,xamarin,xamarin,
0be0e695-3ce0-4e7f-9c37-8eb723a3ee06,mcse-messaging,mcse-messaging,The Microsoft Certified Solutions Expert (MCSE) certification is a professional level certification focused on Microsoft technologies. This tag is associated with courses that specifically focus on Exchange Server and the MCSE: Messaging certification.
0c3208c6-a3c2-418e-85bc-7625b5138602,streaming-metrics,streaming-metrics,
0c73fc6b-8487-420c-b8ef-b01d3d25cff8,events,events,
0c8531fc-c4f8-49a5-b55a-14a719ecfe01,writing,writing,
0c88be79-592a-451f-af43-65b86a732afd,windows-azure-appfabric,windows-azure-appfabric,
0c9ab0f4-9bdb-475a-bc9b-6ee29d8e9d80,windows-10,windows-10,
0cc021b5-8c6b-4d8a-be97-c3682c1d27da,desktop-virtualization,desktop-virtualization,Desktop virtualization is a virtualization technology used to separate a desktop environment from the physical computer.
0ced5a46-5e25-4dca-89cc-efa1d15f0790,silverlight,silverlight,"Silverlight is a cross-platform browser-based application framework from Microsoft that enables rich, interactive web and mobile application development."
0cf7bf27-f6c7-4935-af42-dc4a36fd30c0,cuda,cuda,
0d582ddf-a154-4107-b278-8717c2131ba4,design-patterns,design-patterns,Design patterns are generalized solutions to commonly occurring problems or design goals in software design; usually presented with a particular programming language or platform in mind.
0d72379b-bd86-4ea4-896f-ce07a78cc4bf,claims,claims,
0d7cd5c0-4570-4f49-aa1a-a402e40c625b,csrf,"csrf,xsrf","Cross Site Request Forgery (CSRF, also abbreviated XSRF) is a malicious attack designed to exploit a website's trust in a user."
0dc2ec01-1a03-4d9f-a2db-302e84be8fde,vcp,vcp,The VMware Certified Professional (VCP) is VMware's professional level of certification.
0e224ffe-2c32-4bc4-850f-e54ebb5f30e6,encog,encog,
0e47fcd4-4677-412e-b902-fe4b3e7de080,vmware-vsphere,"vmware-vsphere,vsphere",vSphere is VMware's virtualization operating system that allows you to configure and manage your virtualization infrastructure.
0ec5fcb7-aa57-4ccc-bf54-921fb543ec7d,ws-federation,ws-federation,A web service standard that facilitates federated security where users in one security domain can access resources in another security domain.
0f0929ee-856b-42bd-b708-9f16784ef3f1,motion-graphics,motion-graphics,
0f2fe08f-3c21-4e96-b173-0bc64c192576,process,process,
0f72ff63-54d5-4a39-9602-98857188e107,it-admin,"it-admin,it-administration",
0fac7649-2c58-446f-b1d9-a67da4b0b1bd,ember.js,"ember.js,ember-js",
0fb4b81d-5c08-4aed-8564-6d7e36bd2f7f,vca-wm,vca-wm,
104736f2-b361-44eb-9fbe-9770f7bb4f6a,lambdas,lambdas,
108c2384-f21e-44c7-b58b-01bcf0ce9b70,ikvm,ikvm,
10a3beb8-1eb0-47e0-84a2-28f80aabf977,asp.net-mvc-3,"asp.net-mvc-3,aspdotnet-mvc-3",ASP.NET MVC is Microsoft's implementation of the Model-View-Controller (MVC) architectural pattern in the context of web application development within the ASP.NET framework.  This tag is associated with courses that specifically focus on version 3.
10b060de-74ae-4cff-9e50-3dbe7ddd55e7,powershell,powershell,Windows PowerShell is a scripting framework created to offer increased task automation and configuration management to administrative tasks.
10ef30ff-d5d8-443e-b81d-a2d65757646b,datacenter-virtualization,datacenter-virtualization,Server virtualization is a virtualization technology used to separate a operating system from the physical layer of a computer.
11530da1-1d6e-45bf-9c6b-1c25f2104d76,juniper,juniper,
11647c35-c8a8-4a09-b4c7-d8dabefedeaa,concurrency,concurrency,"Concurrency refers to the simultaneous execution of code, including truly parallel execution (on capable hardware) as well as time slice-based concurrency via techniques such as preemptive scheduling."
11848b19-e3b3-4605-a1f7-4d173152ebd9,failover,failover,
11ebfb8a-1819-4631-a66d-9f7473afe6ac,ws-trust,ws-trust,A web service standard for services to delegate authentication to a Secure Token Service (STS) which manages security tokens.
1207fb81-6381-45cb-a2d3-6f535aa21d45,rhce,rhce,
12e7081f-dcf1-4a1d-a734-4b8e82fae4c3,xenserver,xenserver,XenServer is a suite of tools from Citrix that provides server virtualization for the enterprise.
1363f081-aebf-40bf-bbbf-6dc1b780bbe1,sy0-201,sy0-201,
13765a89-53cb-41f8-aa49-2e369e487481,object-relational-mapping,object-relational-mapping,"Object Relational Mapping is a design pattern for converting rows and columns in a relational database to arrays of objects and attributes. Specific ORMs often provide further design guidelines for writing business logic around the creation, modification, deletion, and transformation of that data."
13a7f8ee-af73-46f3-a82c-b24df34130b8,70-336,70-336,Microsoft's 70-336 Core Solutions of Microsoft Lync Server 2013 exam. Passing this exam gives you credit towards the MCSE: Communication certification.
13d04c3a-a11d-4121-8e98-e76302cac7b8,power-view,power-view,"Power View is a reporting tool from Microsoft that enables interactive data exploration, visualization, and presentation of data from SQL Server inside of Excel."
13fd5083-7f7f-48fe-94cc-1d2ffc8105de,infopath,infopath,"Microsoft InfoPath is a software from Microsoft focused on building, distributing forms and collecting data."
14060878-d185-441d-b425-94a94edf34df,oracle-database-12c,oracle-database-12c,
140e855b-f458-48ea-8d97-e0cd8d1cda8e,repositories,repositories,
1438ace4-1e4e-495a-a6a0-15bd6c9203c1,edi,edi,
143e5178-6d1d-4079-b9d6-100e86984112,70-646,70-646,"Microsoft's 70-646 Windows Server 2008, Server Administrator exam is 1 of 3 exams required to obtain the MCSA: Windows Server 2008 certification. It is also 1 of 3 exams to obtain the MCITP: Server Administrator 2008 certification paths offered by Microsoft."
1453ddd5-eba0-4d5e-ac8e-25acfce242f2,rabbitmq,rabbitmq,
14545fdc-5328-4e0e-a14c-31f4aa213ac3,jncia,jncia,
14616ed0-006d-4e7c-a734-611d33fd2060,vpn,vpn,
14672e90-1f75-48fb-b5e2-0e9f8e7d581c,excel,excel,Excel is a commercial spreadsheet application from Microsoft for Windows and Mac that is part of the Microsoft Office product line.
147a2668-07ab-43b7-8e5c-25cdb085c37e,operating-systems,operating-systems,
14e92b43-81aa-40ee-abd1-77d8ed54b06d,https,https,
159b19ba-2d44-49f7-b865-c828e40d82d0,sublime,sublime,
15feeca3-94ba-4af0-84e7-86132ded37c4,exchange-server-2010,exchange-server-2010,Exchange Server is an email server developed by Microsoft.  This tag is associated with courses that focus on the 2010 version of the product.
165f7ed2-38f5-49ec-a54f-0c80ad66f06c,group-policy,group-policy,
167f8f21-3dba-4246-a88b-bbfe57b8105a,t4,t4,
16a1f71a-eea8-428b-a5a6-59a0ebcbe5f6,careers,careers,"Career covers employment opportunities, choices, and experiences in the tech industry."
16d9244a-e2a8-4065-bae7-94cc19a63360,mcse-sharepoint,mcse-sharepoint,The Microsoft Certified Solutions Expert (MCSE) certification is a professional level certification focused on Microsoft technologies. This tag is associated with courses that focus on the SharePoint exams.
1720c9f3-b132-4ef5-bbf2-8eeb7173a95a,enterprise-library,enterprise-library,"Enterprise Library is a set of tools and programming libraries for the Microsoft .NET Framework that provides ready-to-use code (called ""application blocks"") that model common programming practices in data access, logging, exception handling and other areas of .NET application development."
17293fd9-022d-4b31-bc5a-2a7effcf39fa,behavior,behavior,
175e547f-57e7-4405-8016-e162cb22e9d2,backup-recovery,backup-recovery,Should be moved to Disaster Recovery
176142b9-58bb-462a-9fb1-eafdd774a887,malicious-code,malicious-code,
17d4b544-1735-4e71-b35e-4d9627caf547,classes,classes,
17ea7448-fe90-4d12-88ff-52b10f38ccc1,chrome-api,chrome-api,
1840fae1-91a7-44e4-ad00-74b31f275e4f,windows-internals,windows-internals,
1852ed24-f8c3-4851-a3d7-3591bedb790c,charts,charts,
1897ddf7-ad46-4579-a13d-22a595252bf8,compilation,compilation,
18c34d82-1ea3-4394-afb9-21b495692b6f,data-protection,data-protection,
1936a367-9a64-48e6-af0d-9669c6bb0f2b,windows-azure-cache,windows-azure-cache,
1950e971-6e6b-4f19-babe-f99ae67077e3,cissp,cissp,
19cf1974-248f-48f9-89af-7fee1e6fae64,frame-relay,frame-relay,Frame Relay is a network protocol for Wide Area Networks (WANs)
19fad0c8-7e41-44e8-b48a-710080212294,.net-4,.net-4,
1a639f56-89ed-4ad9-9a6a-014105b3fc0c,entity-framework-4.1,entity-framework-4.1,
1ae8f2d4-657d-4409-a395-2d6b3b86624c,70-688,70-688,Microsoft's 70-688 Managing and Maintaining Windows 8 exam. This exam gives you credit towards the MCSA: Windows 8.
1b29d7cc-0d92-4678-bb20-7adbba96e4ce,computation,computation,
1b50d96b-1bde-4bd5-900b-fecc46237c45,teststack,teststack,TestStack is a collection of open source projects for .NET that support automated testing in agile software development environments.
1baa426c-2f7f-4367-ae2b-8916f956296e,system-center-2010,system-center-2010,System Center is a collection of management tools by Microsoft for providing a unified management solution for your server infrastructure. This tag is associated with courses that specifically focus on System Center 2010.
1bde4c49-3f86-4ae0-be8b-c2d5b5f19d89,collections,collections,
1be8f61f-19c2-44aa-b7b2-90f8635cbb5e,erp,erp,
1c0bb0e2-6104-498f-ae55-3843ced9190d,iis-7.5,iis-7.5,Internet Information Services (IIS) is an extensible web server from Microsoft that runs on Microsoft Windows operating systems.  This tag is associated with courses that specifically focus on version 7.5.
1c2cbf42-a14b-49cd-9ad6-bad4fe1895ea,centos,centos,
1c5120b9-1f8c-4a08-90b9-2d82024e1264,blogging,blogging,
